Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2021.07.19,Jul-2021,Unprovoked,Australia,Western Australia,Rottnest Island,N,12h30,Afternoon,Surfing,White,"Rottnest Island, Western Australia, Australia","(-32.004113, 115.5151009)",-32.004113,115.5151009
2021.07.15,Jul-2021,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,16h30,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2021.07.14,Jul-2021,Unprovoked,South Africa,Eastern Cape Province,Jeffrey's Bay,N,07h07,Morning,Surfing,Unknown,"Jeffrey's Bay, Eastern Cape Province, South Africa","(-34.0506714, 24.9101544)",-34.0506714,24.9101544
2021.07.11.R,Jul-2021,Provoked,Bahamas,Bahamas,Bahamas,N,Unknown,Unknown,Unknown,Unknown,"Bahamas, Bahamas, Bahamas","(25.03428, -77.39627999999999)",25.03428,-77.39627999999999
2021.07.10.c,Jul-2021,Unprovoked,United States,Florida,"Bathtub Beach, Martin County",N,16h39,Afternoon,Leisure,Spinner,"Bathtub Beach, Martin County, Florida, United States","(27.186242, -80.16036)",27.186242,-80.16036
2021.07.10.b,Jul-2021,Unprovoked,United States,Florida,"Mayport, Duval County",Y,Unknown,Unknown,Fishing,Unknown,"Mayport, Duval County, Florida, United States","(30.3923949, -81.42995859999999)",30.3923949,-81.42995859999999
2021.07.10,Jul-2021,Unprovoked,Brazil,Pernambuco,Piedade,Y,13h50,Afternoon,Wading,Unknown,"Piedade, Pernambuco, Brazil","(-8.1801557, -34.9203383)",-8.1801557,-34.9203383
2021.07.05,Jul-2021,Unprovoked,Australia,New South Wales,Crescent Head,N,16h30,Afternoon,Surfing,Unknown,"Crescent Head, New South Wales, Australia","(-31.1769749, 152.9106663)",-31.1769749,152.9106663
2021.07.04b,Jul-2021,Provoked,United States,BAHAMAS,BAHAMAS,N,Unknown,Unknown,Fishing,Bull,"BAHAMAS, BAHAMAS, United States","(25.03428, -77.39627999999999)",25.03428,-77.39627999999999
2021.07.04,Jul-2021,Unprovoked,United States,Florida,"Ponce Inlet, Volusia County",N,16h00,Afternoon,Surfing,Unknown,"Ponce Inlet, Volusia County, Florida, United States","(29.0963729, -80.9369983)",29.0963729,-80.9369983
2021.07.03,Jul-2021,Unprovoked,Ecuador,Galapagos Islands,Galapagos,N,Unknown,Unknown,Diving,Unknown,"Galapagos, Galapagos Islands, Ecuador","(-0.9537690999999999, -90.9656019)",-0.9537691,-90.9656019
2021.06.30,Jun-2021,Unprovoked,United States,California,"Catalina Island, Orange County",N,07h15,Morning,Rowing,Unknown,"Catalina Island, Orange County, California, United States","(33.6027093, -117.8988562)",33.6027093,-117.8988562
2021.06.28,Jun-2021,Unprovoked,United States,Florida,"Block Houe Beach, Brevard County",N,Unknown,Unknown,Surfing,Unknown,"Block Houe Beach, Brevard County, Florida, United States","(28.2525727, -80.6031587)",28.2525727,-80.6031587
2021.06.27,Jun-2021,Unprovoked,United States,North Carolina,"Ocean Isle, Brunswick County",N,11h30,Morning,Swimming,Unknown,"Ocean Isle, Brunswick County, North Carolina, United States","(33.8877282, -78.4364471)",33.8877282,-78.4364471
2021.06.26,Jun-2021,Unprovoked,United States,California,"Gray Whale Beach Cove State Beach, San Mateo County",N,09h15,Morning,Swimming,White,"Gray Whale Beach Cove State Beach, San Mateo County, California, United States","(37.5645993, -122.5139689)",37.5645993,-122.5139689
2021.06.25,Jun-2021,Unprovoked,Jordan,Aqaba,Aqaba,N,Unknown,Unknown,Unknown,Unknown,"Aqaba, Aqaba, Jordan","(29.5320522, 35.0063209)",29.5320522,35.0063209
2021.06.23,Jun-2021,Unprovoked,Australia,Western Australia,Gum Tree Bay,N,14h00,Afternoon,Surfing,Unknown,"Gum Tree Bay, Western Australia, Australia","(-29.7826764,114.96205)",-29.7826764,114.96205
2021.06.18,Jun-2021,Unprovoked,United States,Florida,"Bethune Beach, Volusia County",N,15h57,Afternoon,Surfing,Unknown,"Bethune Beach, Volusia County, Florida, United States","(28.941441, -80.844768)",28.941441,-80.844768
2021.06.17,Jun-2021,Unprovoked,United States,Florida,"Grayton Beach State Park,  Walton County",N,14h30,Afternoon,Swimming,Unknown,"Grayton Beach State Park,  Walton County, Florida, United States","(30.3315271, -86.1571991)",30.3315271,-86.1571991
2021.06.14.b,Jun-2021,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,Unknown,Unknown,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2021.06.14.a,Jun-2021,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,Unknown,Unknown,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2021.06.12,Jun-2021,Provoked,England,West Sussex,Littlehampton,N,Unknown,Unknown,Fishing,Unknown,"Littlehampton, West Sussex, England","(50.811057, -0.5386609)",50.811057,-0.5386609
2021.06.11,Jun-2021,Unprovoked,Australia,Western Australia,Five Fingers Reef,N,11h00,Morning,Diving,Copper,"Five Fingers Reef, Western Australia, Australia","(-23.1797459, 113.7657069)",-23.1797459,113.7657069
2021.05.25,May-2021,Provoked,New Caledonia,Nouville,CHS Beach,Y,Unknown,Unknown,Fishing,Unknown,"CHS Beach, Nouville, New Caledonia","(-22.2662612, 166.4013471)",-22.2662612,166.4013471
2021.05.23,May-2021,Unprovoked,United States,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",N,Unknown,Unknown,Swimming,Unknown,"Burkes Beach, Hilton Head, Beaufort County, South Carolina, United States","(32.1940526, -80.6976655)",32.1940526,-80.6976655
2021.05.21,May-2021,Unprovoked,Australia,Western Australia,Quondong Beach,N,11h20,Morning,Fishing,Unknown,"Quondong Beach, Western Australia, Australia","(-17.580385, 122.1571309)",-17.580385,122.1571309
2021.05.18,May-2021,Unprovoked,Australia,New South Wales,Turncurry Beach,Y,11h15,Morning,Surfing,White,"Turncurry Beach, New South Wales, Australia","(-32.1521022, 152.5052727)",-32.1521022,152.5052727
2021.05.15,May-2021,Unprovoked,United States,Hawaii,"Kanaha Beach Park, Maui",N,16h45,Afternoon,Surfing,Tiger,"Kanaha Beach Park, Maui, Hawaii, United States","(20.8996987, -156.4405938)",20.8996987,-156.4405938
2021.05.12,May-2021,Provoked,Belize,Ambergris Key,Ambergris Key,N,10h00,Morning,Unknown,Unknown,"Ambergris Key, Ambergris Key, Belize","(18.001592, -87.94328370000001)",18.001592,-87.94328370000001
2021.05.06,May-2021,Unprovoked,United States,Florida,"Daytona Beach Shores, Volusia County",N,11h30,Morning,Wading,Unknown,"Daytona Beach Shores, Volusia County, Florida, United States","(29.1760933, -80.9828323)",29.1760933,-80.9828323
2021.05.03,May-2021,Unprovoked,United States,Hawaii,"Marine Corps Base Hawaii, Oahu",N,16h00,Afternoon,Surfing,Unknown,"Marine Corps Base Hawaii, Oahu, Hawaii, United States","(21.4433045, -157.7489524)",21.4433045,-157.7489524
2021.05.01,May-2021,Unprovoked,Jamaica,Westmoreland Parish,"Little Bay, Little London",Y,08h00,Morning,Fishing,Unknown,"Little Bay, Little London, Westmoreland Parish, Jamaica","(18.2211586, -78.2689714)",18.2211586,-78.2689714
2021.04.30,Apr-2021,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,09h00,Morning,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2021.04.29,Apr-2021,Unprovoked,United States,Florida,"Vero Beach, Indian River County",N,10j30,Unknown,Surfing,Unknown,"Vero Beach, Indian River County, Florida, United States","(27.6386434, -80.39727359999999)",27.6386434,-80.39727359999999
2021.04.24.b,Apr-2021,Unprovoked,French Polynesia,Tahiti,Tautira,N,08h15,Morning,Rowing,Unknown,"Tautira, Tahiti, French Polynesia","(-17.7496214, -149.1611957)",-17.7496214,-149.1611957
2021.04.24.a,Apr-2021,Unprovoked,New Caledonia,Nouville,Nouville,Y,Unknown,Unknown,Surfing,Unknown,"Nouville, Nouville, New Caledonia","(-22.2662612, 166.4013471)",-22.2662612,166.4013471
2021.04.20,Apr-2021,Unprovoked,United States,Hawaii,Kukio Bay,N,08h56,Morning,Swimming,Tiger,"Kukio Bay, Hawaii, United States","(19.8219841, -155.9995173)",19.8219841,-155.9995173
2021.04.19,Apr-2021,Unprovoked,Australia,Western Australia,Karratha,N,15h40,Afternoon,Unknown,Unknown,"Karratha, Western Australia, Australia","(-20.7336955, 116.8447057)",-20.7336955,116.8447057
2021.04.17,Apr-2021,Provoked,United States,North Carolina,Outer Banks,N,Unknown,Unknown,Unknown,Mako,"Outer Banks, North Carolina, United States","(35.5584932, -75.4665158)",35.5584932,-75.4665158
2021.04.14,Apr-2021,Unprovoked,South Africa,KwaZulu-Natal,Mdloti,N,Afternoon,Afternoon,Fishing,Unknown,"Mdloti, KwaZulu-Natal, South Africa","(-29.666927, 31.1180517)",-29.666927,31.1180517
2021.04.13,Apr-2021,Unprovoked,South Africa,Eastern Cape Province,Chintsa,Y,11h00,Morning,Surfing,White,"Chintsa, Eastern Cape Province, South Africa","(-32.823269, 28.1151939)",-32.823269,28.1151939
2021.04.03,Apr-2021,Unprovoked,United States,Florida,"Key Biscayne, Miami-Dade County",N,Unknown,Unknown,Swimming,Unknown,"Key Biscayne, Miami-Dade County, Florida, United States","(25.693713, -80.1628248)",25.693713,-80.1628248
2021.03.30,Mar-2021,Unprovoked,United States,Florida,"Vero Beach, Indian River County",N,13h00,Afternoon,Unknown,Unknown,"Vero Beach, Indian River County, Florida, United States","(27.6386434, -80.39727359999999)",27.6386434,-80.39727359999999
2021.03.27,Mar-2021,Unprovoked,Australia,Western Australia,Coral Bay,N,12h00,Afternoon,Fishing,Bull,"Coral Bay, Western Australia, Australia","(-23.1422976, 113.7723112)",-23.1422976,113.7723112
2021.03.26,Mar-2021,Unprovoked,French Polynesia,Marquesas,Ua Pou,N,Unknown,Unknown,Swimming,Unknown,"Ua Pou, Marquesas, French Polynesia","(-9.4042642, -140.0803953)",-9.4042642,-140.0803953
2021.03.25.b,Mar-2021,Unprovoked,United States,Florida,Indian River Shores,N,11h45,Morning,Unknown,Unknown,"Indian River Shores, Florida, United States","(27.7166964, -80.3842173)",27.7166964,-80.3842173
2021.03.25.a,Mar-2021,Unprovoked,United States,Florida,"Fort Lauderdale, Broward County",N,Unknown,Unknown,Swimming,Unknown,"Fort Lauderdale, Broward County, Florida, United States","(26.1224386, -80.13731740000001)",26.1224386,-80.13731740000001
2021.03.21,Mar-2021,Unprovoked,United States,Florida,Miami Beach,N,14h00,Afternoon,Surfing,Unknown,"Miami Beach, Florida, United States","(25.790654, -80.1300455)",25.790654,-80.1300455
2021.03.20,Mar-2021,Unprovoked,Australia,Western Australia,Yallingup,N,15h00,Afternoon,Surfing,Blacktip,"Yallingup, Western Australia, Australia","(-33.6726467, 115.0308277)",-33.6726467,115.0308277
2021.03.18,Mar-2021,Unprovoked,United States,Florida,"Juno Beach, Palm Beach County",N,Afternoon,Afternoon,Wading,Blacktip,"Juno Beach, Palm Beach County, Florida, United States","(26.8797819, -80.0533743)",26.8797819,-80.0533743
2021.03.02,Mar-2021,Unprovoked,New Caledonia,Loyalty Islands,Ouvéa,N,Afternoon,Afternoon,Fishing,Tiger,"Ouvéa, Loyalty Islands, New Caledonia","(-20.6543997, 166.5353028)",-20.6543997,166.5353028
2021.02.28,Feb-2021,Unprovoked,New Caledonia,I'îot Maître,I'îot Maître,Y,11h00,Morning,Swimming,Tiger,"I'îot Maître, I'îot Maître, New Caledonia","(-20.904305, 165.618042)",-20.904305,165.618042
2021.02.21,Feb-2021,Provoked,Australia,Queensland,Waterford West,N,17h30,Afternoon,Fishing,Bull,"Waterford West, Queensland, Australia","(-27.6860709, 153.1205271)",-27.6860709,153.1205271
2021.02.06,Feb-2021,Unprovoked,United States,Hawaii,"Waiokapua Bay, Kaui",N,16h30,Afternoon,Surfing,Unknown,"Waiokapua Bay, Kaui, Hawaii, United States","(22.0083333, -159.7791667)",22.0083333,-159.7791667
2021.02.02.b,Feb-2021,Not Confirmed,Australia,South Australia,Gleneg,N,19h00,Evening,Surfing,Copper,"Gleneg, South Australia, Australia","(-34.980383, 138.5131191)",-34.980383,138.5131191
2021.02.02.a,Feb-2021,Not Confirmed,United States,Maui,Ukumehama,N,14h00,Afternoon,Rowing,White,"Ukumehama, Maui, United States","(20.794627, -156.581786)",20.794627,-156.581786
2021.01.29,Jan-2021,Unprovoked,Australia,Western Australia,"Melaleuca Beach, Cowaramup Bay, Gracetown,",N,10h30,Morning,Swimming,Unknown,"Melaleuca Beach, Cowaramup Bay, Gracetown,, Western Australia, Australia","(-33.86060250000001, 114.9857991)",-33.86060250000001,114.9857991
2021.01.27,Jan-2021,Unprovoked,New Zealand,North Island,"Papamoa Beach, Bay of Plenty",N,20h00,Evening,Swimming,Unknown,"Papamoa Beach, Bay of Plenty, North Island, New Zealand","(-37.7329778, 176.298309)",-37.7329778,176.298309
2021.01.23,Jan-2021,Unprovoked,Australia,New South Wales,Lake Macquarie,N,18h30,Evening,Swimming,Unknown,"Lake Macquarie, New South Wales, Australia","(-33.0857007, 151.5720067)",-33.0857007,151.5720067
2021.01.22.b,Jan-2021,Not Confirmed,United States,Florida,Tampa Bay,N,Unknown,Unknown,Fishing,White,"Tampa Bay, Florida, United States","(27.763383, -82.5436722)",27.763383,-82.5436722
2021.01.22,Jan-2021,Unprovoked,United States,Hawaii,Maui,N,07h45,Morning,Diving,Unknown,"Maui, Hawaii, United States","(20.7983626, -156.3319253)",20.7983626,-156.3319253
2021.01.21,Jan-2021,Unprovoked,Australia,South Australia,Port MacDonnell,Y,17h00,Afternoon,Diving,White,"Port MacDonnell, South Australia, Australia","(-38.0521936, 140.701759)",-38.0521936,140.701759
2021.01.13.b,Jan-2021,Unprovoked,Brazil,Pernambuco,Cacimba do Padre Beach,N,Unknown,Unknown,Surfing,Unknown,"Cacimba do Padre Beach, Pernambuco, Brazil","(-3.8498785, -32.4387858)",-3.8498785,-32.4387858
2021.01.13,Jan-2021,Unprovoked,Australia,Western Australia,Blackwall Reach,N,07h58,Morning,Swimming,Bull,"Blackwall Reach, Western Australia, Australia","(-32.0245847, 115.7798646)",-32.0245847,115.7798646
2021.01.11,Jan-2021,Unprovoked,Australia,Victoria,13th Beach,N,17h40,Afternoon,Swimming,Unknown,"13th Beach, Victoria, Australia","(-38.28520670189364, 144.45847895)",-38.28520670189364,144.45847895
2021.01.09,Jan-2021,Unprovoked,St Kitts / Nevis,The Narrows,Booby Island,N,09h00-10h00,Morning,Rowing,Unknown,"Booby Island, The Narrows, St Kitts / Nevis","(17.2333333, -62.6)",17.2333333,-62.6
2021.01.07,Jan-2021,Unprovoked,New Zealand,North Island,"Waihī Beach, Bay of Plenty",Y,17h10,Afternoon,Swimming,Unknown,"Waihī Beach, Bay of Plenty, North Island, New Zealand","(-37.4076175, 175.9356284)",-37.4076175,175.9356284
2021.01.03,Jan-2021,Unprovoked,United States,Florida,"Cocoa Beach, Brevard County",N,10h30,Morning,Surfing,Unknown,"Cocoa Beach, Brevard County, Florida, United States","(28.3200067, -80.6075513)",28.3200067,-80.6075513
2021.01.02.b,Jan-2021,Unprovoked,United States,Florida,"Cocoa Beach, Brevard County",N,10h30,Morning,Surfing,Unknown,"Cocoa Beach, Brevard County, Florida, United States","(28.3200067, -80.6075513)",28.3200067,-80.6075513
2021.01.02,Jan-2021,Unprovoked,United States,Hawaii,"Anaehoomalu Bay
Waikoloa, Hawaii County",N,08h00,Morning,Swimming,Unknown,"Anaehoomalu Bay
Waikoloa, Hawaii County, Hawaii, United States","(19.9161242, -155.8932242)",19.9161242,-155.8932242
2021..08.07.a,Aug-2021,Unprovoked,United States,Florida,"Key Largo, Monroe County",N,07h51,Morning,Diving,Unknown,"Key Largo, Monroe County, Florida, United States","(25.0865151, -80.4472802)",25.0865151,-80.4472802
2020.12.30,Dec-2020,Unprovoked,United States,California,"Coronado, San Diego County",N,Afternoon,Afternoon,Swimming,White,"Coronado, San Diego County, California, United States","(32.6858853, -117.1830891)",32.6858853,-117.1830891
2020.12.23,Dec-2020,Unprovoked,Maldives,Raa Atoll,Faadoo Island,N,09h36,Morning,Boat Accident,Unknown,"Faadoo Island, Raa Atoll, Maldives","(5.8570104, 72.99255889999999)",5.8570104,72.99255889999999
2020.12.10,Dec-2020,Unprovoked,St Martin,Orient Beach,Orient Beach,Y,14h00,Afternoon,Swimming,Tiger,"Orient Beach, Orient Beach, St Martin","(18.0885455, -63.022052)",18.0885455,-63.022052
2020.12.09,Dec-2020,Unprovoked,Australia,Western Australia,Cable Beach,N,07h00,Morning,Surfing,Unknown,"Cable Beach, Western Australia, Australia","(-17.9614438, 122.2149419)",-17.9614438,122.2149419
2020.12.08,Dec-2020,Unprovoked,United States,Hawaii,Honolua Bay,Y,07h45,Morning,Surfing,Tiger,"Honolua Bay, Hawaii, United States","(21.0139474, -156.638533)",21.0139474,-156.638533
2020.12.06.b,Dec-2020,Unprovoked,United States,Oregon,"Seaside Cove, Clatsop County",N,15h20,Afternoon,Surfing,Unknown,"Seaside Cove, Clatsop County, Oregon, United States","(45.97489880000001, -123.9424796)",45.97489880000001,-123.9424796
2020.12.06.a,Dec-2020,Unprovoked,Australia,South Australia,Kangaroo Island,N,14h20,Afternoon,Surfing,White,"Kangaroo Island, South Australia, Australia","(-35.7752426, 137.2142417)",-35.7752426,137.2142417
2020.12.06,Dec-2020,Unprovoked,Egypt,South Sinai,Marsa Alam,N,Unknown,Unknown,Diving,Whitetip,"Marsa Alam, South Sinai, Egypt","(25.069992,34.893817)",25.069992,34.893817
2020.11.26,Nov-2020,Unprovoked,United States,Hawaii,Maui,N,14h00,Afternoon,Diving,Unknown,"Maui, Hawaii, United States","(20.7983626, -156.3319253)",20.7983626,-156.3319253
2020.11.23,Nov-2020,Unprovoked,New Caledonia,South Province,St. Vincent Bay,N,Unknown,Unknown,Diving,Tiger,"St. Vincent Bay, South Province, New Caledonia","(-21.9650203, 166.1203982)",-21.9650203,166.1203982
2020.11.22,Nov-2020,Unprovoked,Australia,Western Australia,Cable Beach,Y,08h40,Morning,Surfing,Bull,"Cable Beach, Western Australia, Australia","(-17.9614438, 122.2149419)",-17.9614438,122.2149419
2020.11.02,Nov-2020,Unprovoked,Australia,New South Wales,"Town Beach, Port Macquarie",N,06h00,Morning,Surfing,Unknown,"Town Beach, Port Macquarie, New South Wales, Australia","(-31.42946499999999, 152.9193046)",-31.42946499999999,152.9193046
2020.10.31,Oct-2020,Unprovoked,United States,Florida,Ormond Beach,N,16h00,Afternoon,Swimming,Blacktip,"Ormond Beach, Florida, United States","(29.2858129, -81.0558894)",29.2858129,-81.0558894
2020.10.30,Oct-2020,Unprovoked,Bahamas,Grand Bahama Island,East End Point,N,Unknown,Unknown,Fishing,Unknown,"East End Point, Grand Bahama Island, Bahamas","(26.659447, -78.52065)",26.659447,-78.52065
2020.10.29,Oct-2020,Unprovoked,United States,"Franklin County, Florida",St George Island,N,13h00,Afternoon,Surfing,Unknown,"St George Island, Franklin County, Florida, United States","(29.6438166, -84.9130295)",29.6438166,-84.9130295
2020.10.25,Oct-2020,Unprovoked,Egypt,South Sinai,"Shark Reef, Ras Muhammed",N,Unknown,Unknown,Diving,Unknown,"Shark Reef, Ras Muhammed, South Sinai, Egypt","(27.7420043, 34.2347743)",27.7420043,34.2347743
2020.10.24,Oct-2020,Unprovoked,Australia,Queensland,Britomart Reef,N,12h00,Afternoon,Fishing,Unknown,"Britomart Reef, Queensland, Australia","(-18.22888083832187, 146.7300532548505)",-18.22888083832187,146.7300532548505
2020.10.21,Oct-2020,Not Confirmed,United States,North Carolina,"Emerald Isle, Carteret County",N,Sunset,Unknown,Surfing,Unknown,"Emerald Isle, Carteret County, North Carolina, United States","(34.6779399, -76.95077619999999)",34.6779399,-76.95077619999999
2020.10.09,Oct-2020,Unprovoked,Australia,Western Australia,Wylie Bay,Y,10h45,Morning,Surfing,Unknown,"Wylie Bay, Western Australia, Australia","(-33.8307712, 121.9618537)",-33.8307712,121.9618537
2020.10.07,Oct-2020,Unprovoked,United States,Florida,Miami Beach,N,Afternoon,Afternoon,Surfing,Blacktip,"Miami Beach, Florida, United States","(25.790576140541624, -80.12933030950258)",25.790576140541624,-80.12933030950258
2020.10.04,Oct-2020,Unprovoked,Australia,Western Australia,"Toms Surf break, Hamersley Pool, North Beach, Perth",N,10h45,Morning,Surfing,Copper,"Toms Surf break, Hamersley Pool, North Beach, Perth, Western Australia, Australia","(-31.862616, 115.7520862)",-31.862616,115.7520862
2020.09.29,Sep-2020,Provoked,United States,Florida,Key Largo,N,Unknown,Unknown,Unknown,Tiger,"Key Largo, Florida, United States","(25.0865151, -80.4472802)",25.0865151,-80.4472802
